year,season,city,country,notes
1896,Summer,Athens,Greece,1896
1900,Summer,Paris,France,1900
1904,Summer,St. Louis,United States,1904
1908,Summer,London,United Kingdom,1908
1912,Summer,Stockholm,Sweden,1912
1920,Summer,Antwerp,Belgium,1920
1924,Winter,Chamonix,France,1924
1924,Winter,Paris,S008VIII,
1928,Winter,St. Moritz,Switzerland,1928
1932,Winter,Lake Placid,United States,1932
1932,Winter,Los Angeles,S010X,
1936,Winter,Garmisch-Partenkirchen,Germany,1936
1936,Winter,Berlin,S011XI,
1948,Winter,St. Moritz,Switzerland,1948
1952,Winter,Oslo,Norway,1952
1956,Winter,Cortina d'Ampezzo,Italy,1956
1960,Winter,Squaw Valley,United States,1960
1964,Winter,Innsbruck,Austria,1964
1968,Winter,Grenoble,France,1968
1972,Winter,Sapporo,Japan,1972
1976,Winter,Innsbruck,Austria,1976
1980,Winter,Lake Placid,United States,1980
1984,Winter,Sarajevo,Yugoslavia,1984
1988,Winter,Calgary,Canada,1988
1992,Winter,Albertville,France,1992
1994,Winter,Lillehammer,Norway,1994
1996,Summer,Atlanta,United States,1996
1998,Winter,Nagano,Japan,1998
2000,Summer,Sydney,Australia,2000
2002,Winter,Salt Lake City,United States,2002
2004,Summer,Athens,Greece,2004
2006,Winter,Turin,Italy,2006
2008,Summer,Beijing,China,2008
2010,Winter,Vancouver,Canada,2010
2012,Summer,London,United Kingdom,2012
2014,Winter,Sochi,Russia,2014
2016,Summer,Rio de Janeiro,Brazil,2016
2018,Winter,Pyeongchang,South Korea,2018
2020,Summer,Tokyo,Japan,2020
2022,Winter,Beijing,China,2022
2024,Summer,Paris,France,2024
